,NUMBER,NAME,Latitude,Longitude,ALTITUDE,COUNTRY,REGION,PROVINCE,CANTON,DISTRICT,USE DATA,Jan_High,Feb_High,Mar_High,Apr_High,May_High,Jun_High,Jul_High,Aug_High,Sep_High,Oct_High,Nov_High,Dec_High,Jan_Mean,Feb_Mean,Mar_Mean,Apr_Mean,May_Mean,Jun_Mean,Jul_Mean,Aug_Mean,Sep_Mean,Oct_Mean,Nov_Mean,Dec_Mean,Jan_Low,Feb_Low,Mar_Low,Apr_Low,May_Low,Jun_Low,Jul_Low,Aug_Low,Sep_Low,Oct_Low,Nov_Low,Dec_Low,Jan_Rainfall,Feb_Rainfall,Mar_Rainfall,Apr_Rainfall,May_Rainfall,Jun_Rainfall,Jul_Rainfall,Aug_Rainfall,Sep_Rainfall,Oct_Rainfall,Nov_Rainfall,Dec_Rainfall,Avg_High,Avg_Mean,Avg_Low,Annual_Rainfall
22,72163.0,"Santa rosa, cc.",10.84111,-85.61944,315.0,Costa rica,North pacific,Guanacaste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,72165.0,Nicoya centro,10.14556,-85.45194,130.0,Costa rica,North pacific,Guanacaste,,,Nicoya,34.0,34.0,35.0,34.0,32.0,31.0,32.0,32.0,31.0,31.0,31.0,32.0,28.0,29.0,29.0,29.0,28.0,27.0,28.0,28.0,27.0,27.0,27.0,28.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,25.0,1.6,1.3,2.5,15.7,99.1,124.6,83.1,116.4,180.9,169.9,62.8,11.3,32.416666666666664,27.916666666666668,24.75,869.1999999999998
24,72167.0,"Barco quebrado, garza",9.91605,-85.61454,24.0,Costa rica,North pacific,Guanacaste,,,Samara,34.0,34.0,34.0,34.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,33.0,30.0,30.0,30.0,30.0,29.0,28.0,29.0,28.0,28.0,28.0,28.0,29.0,26.0,26.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,26.0,26.0,1.5,1.1,2.3,16.1,107.1,139.6,103.0,132.0,195.5,178.4,66.5,11.7,32.5,28.916666666666668,26.0,954.8000000000001
25,72181.0,"Finca033, cabuya, cabo blanco",9.59528,-85.0925,14.0,Costa rica,North pacific,Puntarenas,,,Paquera,33.0,34.0,34.0,34.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,29.0,30.0,30.0,30.0,29.0,28.0,29.0,28.0,28.0,27.0,28.0,29.0,26.0,26.0,27.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,26.0,3.4,2.7,3.5,22.1,103.1,121.9,87.2,117.9,172.4,167.4,72.6,16.6,32.5,28.75,25.916666666666668,890.8000000000001
26,72189.0,Santa rita nandayure,10.01914,-85.26222,61.0,Costa rica,North pacific,Guanacaste,,,Nandayure,35.0,35.0,36.0,35.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,30.0,30.0,30.0,30.0,29.0,28.0,29.0,29.0,28.0,28.0,28.0,29.0,30.0,30.0,30.0,30.0,29.0,28.0,29.0,29.0,28.0,28.0,28.0,29.0,2.0,1.8,2.8,17.7,96.1,115.6,77.6,110.6,169.6,163.2,64.2,12.5,33.5,29.0,29.0,833.7
27,74008.0,Pelon de la bajura,10.48556,-85.41167,40.0,Costa rica,North pacific,Guanacaste,Bagaces,Bagaces,Bagaces,34.0,35.0,36.0,36.0,34.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,28.0,29.0,29.0,30.0,29.0,28.0,28.0,28.0,27.0,27.0,27.0,28.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,1.6,1.6,2.8,15.9,94.3,114.9,74.1,109.0,170.9,164.1,61.3,11.4,33.583333333333336,28.166666666666668,24.416666666666668,821.9
28,74051.0,Aerop. liberia oeste 07,10.589,-85.55214,89.0,Costa rica,North pacific,Guanacaste,Liberia,Liberia,Liberia,33.0,34.0,35.0,35.0,33.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,28.0,28.0,29.0,29.0,29.0,28.0,28.0,28.0,27.0,27.0,27.0,28.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,1.4,1.3,2.7,14.9,98.5,123.4,79.2,113.4,180.0,170.4,61.0,10.8,32.75,28.0,24.333333333333332,856.9999999999999
29,74053.0,"Santa  cruz,",10.28528,-85.59167,40.0,Costa rica,North pacific,Guanacaste,,,Santa cruz,34.0,35.0,35.0,35.0,33.0,32.0,32.0,32.0,32.0,31.0,32.0,33.0,29.0,29.0,30.0,30.0,29.0,28.0,28.0,28.0,27.0,27.0,28.0,28.0,25.0,25.0,25.0,26.0,26.0,25.0,26.0,25.0,25.0,24.0,25.0,25.0,1.6,1.2,2.5,15.5,103.7,132.8,88.2,121.5,189.2,176.1,64.0,11.3,33.0,28.416666666666668,25.166666666666668,907.6
30,74061.0,"El corral, palo verde cc.",10.3475,-85.35111,10.0,Costa rica,North pacific,Guanacaste,Bagaces,Bagaces,Bagaces,34.0,35.0,36.0,36.0,34.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,28.0,29.0,29.0,30.0,29.0,28.0,28.0,28.0,27.0,27.0,27.0,28.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,1.6,1.6,2.8,15.9,94.3,114.9,74.1,109.0,170.9,164.1,61.3,11.4,33.583333333333336,28.166666666666668,24.416666666666668,821.9
31,74067.0,"Miel, la guinea",10.41939,-85.47344,87.0,Costa rica,North pacific,Guanacaste,,La guinea,Liberia,33.0,34.0,35.0,35.0,33.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,28.0,28.0,29.0,29.0,29.0,28.0,28.0,28.0,27.0,27.0,27.0,28.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,1.4,1.3,2.7,14.9,98.5,123.4,79.2,113.4,180.0,170.4,61.0,10.8,32.75,28.0,24.333333333333332,856.9999999999999
